iter	Logloss
0	0.6871482484
1	0.6806904398
2	0.6748964033
3	0.6690733391
4	0.6635587619
5	0.6578799337
6	0.6525907407
7	0.6480124176
8	0.6429158888
9	0.6398210736
10	0.6354418976
11	0.6306773434
12	0.6264370629
13	0.6223810832
14	0.618027719
15	0.6136483892
16	0.6100542641
17	0.6060198488
18	0.6024414539
19	0.6004895096
20	0.5965670671
21	0.5928173221
22	0.5894197298
23	0.5853087542
24	0.581850744
25	0.5786571426
26	0.5759829379
27	0.5729829685
28	0.5720094138
29	0.5699045224
30	0.5667172029
31	0.5642116156
32	0.5615903757
33	0.5599868697
34	0.5580359864
35	0.555761113
36	0.5540744783
37	0.5532645497
38	0.5511140571
39	0.5491748179
40	0.5468960567
41	0.544637637
42	0.5424717808
43	0.5402870719
44	0.5383756856
45	0.5363067925
46	0.5346071646
47	0.5328451526
48	0.5322481747
49	0.5307956428
50	0.5291477088
51	0.5279092915
52	0.5264311684
53	0.5259181001
54	0.524237814
55	0.5229102301
56	0.5215621881
57	0.5200300309
58	0.5182828157
59	0.5174504892
60	0.5159844266
61	0.5147354416
62	0.5132844753
63	0.5123287324
64	0.5115622317
65	0.5102256376
66	0.50939921
67	0.5086749975
68	0.5079197696
69	0.5066483548
70	0.5053453012
71	0.504048299
72	0.5034053408
73	0.502203756
74	0.501442318
75	0.5007893719
76	0.4995316876
77	0.4984427087
78	0.4973520557
79	0.4964924575
80	0.4955824039
81	0.4945467924
82	0.4935375818
83	0.4922984819
84	0.4914159119
85	0.4903268851
86	0.4895202954
87	0.4885409227
88	0.4880258462
89	0.4871012427
90	0.4862579161
91	0.4854504018
92	0.4847946132
93	0.484007031
94	0.4831183072
95	0.4825794735
96	0.4817859819
97	0.4813123332
98	0.480660028
99	0.4798580304
100	0.4794273778
101	0.4786419079
102	0.4780656759
103	0.4774275368
104	0.4771884477
105	0.476613055
106	0.4759708762
107	0.4753082896
108	0.4748308902
109	0.4742117659
110	0.4739681431
111	0.4734059604
112	0.4730067905
113	0.4726532412
114	0.4722010609
115	0.4716883276
116	0.4711891167
117	0.4707376144
118	0.4703335379
119	0.4700562445
120	0.4695453821
121	0.4689902426
122	0.4685093253
123	0.4679911457
124	0.4674866613
125	0.4671019472
126	0.4670032588
127	0.4665937576
128	0.4662331646
129	0.4655441548
130	0.4652655208
131	0.4650383012
132	0.4649612008
133	0.4646486418
134	0.4644619965
135	0.4639735274
136	0.4637237863
137	0.4633972125
138	0.4630150018
139	0.4629220019
140	0.4624877899
141	0.4623364285
142	0.4619443546
143	0.4616371574
144	0.4613045326
145	0.4610252
146	0.4608160964
147	0.460738337
148	0.4604512746
149	0.4602422003
150	0.4597858249
151	0.4595448013
152	0.4593738435
153	0.4590411825
154	0.4586907848
155	0.4586229716
156	0.4582363163
157	0.457952675
158	0.457406146
159	0.4570277702
160	0.4565636266
161	0.4564805696
162	0.4561214217
163	0.456027041
164	0.4557538186
165	0.4554533851
166	0.4552061783
167	0.4551581808
168	0.4548706006
169	0.4546681102
170	0.4544905114
171	0.4543383885
172	0.454158426
173	0.4539484684
174	0.4537667067
175	0.4535224376
176	0.4532946316
177	0.4530852503
178	0.4529314324
179	0.4526295836
180	0.4523617091
181	0.4521583354
182	0.4519993419
183	0.4516502167
184	0.4515938043
185	0.4515056472
186	0.451380213
187	0.4511828312
188	0.4508072112
189	0.4505073864
190	0.4502781378
191	0.450126516
192	0.4498741838
193	0.4498731256
194	0.4495052964
195	0.4493776053
196	0.4492009197
197	0.4490449585
198	0.4488966103
199	0.4484668579
200	0.4483409268
201	0.4480749407
202	0.4479137611
203	0.4477476952
204	0.4475787921
205	0.4473957809
206	0.4470292721
207	0.4469805149
208	0.4468392027
209	0.4467345142
210	0.4466346204
211	0.4464262856
212	0.4463150993
213	0.446289264
214	0.4462887966
215	0.4461023949
216	0.4459212844
217	0.4456337579
218	0.4455341844
219	0.4453429193
220	0.4451389383
221	0.4449253828
222	0.4447539451
223	0.4446759451
224	0.4444205028
225	0.4442603788
226	0.4441878606
227	0.4440180411
228	0.4438726065
229	0.4436747959
230	0.4434659887
231	0.4433387361
232	0.4432075004
233	0.4430880717
234	0.4429722713
235	0.4428280198
236	0.4426876514
237	0.4425682775
238	0.4425354386
239	0.4423537554
240	0.4421872613
241	0.4420706786
242	0.4419742804
243	0.4418016479
244	0.441633109
245	0.4416156624
246	0.4414457361
247	0.4413118621
248	0.4411036202
249	0.4410023364
250	0.4408426549
251	0.4406433836
252	0.4404868551
253	0.440414702
254	0.4401988287
255	0.4400072472
256	0.4399017759
257	0.4397308495
258	0.4396573912
259	0.4395011602
260	0.4394054744
261	0.4392697229
262	0.4391873325
263	0.4391303325
264	0.4390699436
265	0.4389383456
266	0.4389082711
267	0.4388889439
268	0.4387967165
269	0.4386526935
270	0.4386054681
271	0.4384873543
272	0.4383262578
273	0.4381536056
274	0.4380690914
275	0.4379413925
276	0.4378964039
277	0.4377332395
278	0.4376008057
279	0.4376008047
280	0.4373879529
281	0.4373001519
282	0.4371304855
283	0.4370392948
284	0.4368241237
285	0.4367342882
286	0.4365754233
287	0.4364999386
288	0.4364438164
289	0.4363598806
290	0.4362681685
291	0.4361398217
292	0.4360002985
293	0.4359427693
294	0.4359063563
295	0.4357977224
296	0.4357513022
297	0.4356237696
298	0.4355325564
299	0.4354817639
300	0.4354318965
301	0.4353615365
302	0.4352198728
303	0.4351300726
304	0.4350676864
305	0.4349418693
306	0.4348398837
307	0.4347749789
308	0.4347096289
309	0.4346505001
310	0.4344464448
311	0.4343847716
312	0.434279001
313	0.4341710336
314	0.4340571652
315	0.4339844465
316	0.4339076555
317	0.4338431935
318	0.4337188653
319	0.4336734853
320	0.4336537118
321	0.4335932092
322	0.4335002695
323	0.4334904872
324	0.4334135629
325	0.4332077041
326	0.4331534818
327	0.4330670868
328	0.4330043244
329	0.4328715669
330	0.4328135628
331	0.4327759699
332	0.4327133146
333	0.4325950686
334	0.4325774579
335	0.4325127613
336	0.4324488869
337	0.4324425539
338	0.4324052239
339	0.4323278037
340	0.4322479217
341	0.4322479216
342	0.4322479216
343	0.432166051
344	0.4321135647
345	0.4320273151
346	0.4319749206
347	0.4317097224
348	0.4316508625
349	0.4316285631
350	0.431555488
351	0.4315107731
352	0.4314130842
353	0.4313772097
354	0.4312422232
355	0.4311596778
356	0.4310948495
357	0.4310091052
358	0.4309707426
359	0.430961628
360	0.4309011057
361	0.4308739513
362	0.4308739432
363	0.430684409
364	0.4305810418
365	0.4304407353
366	0.4303050137
367	0.4302645943
368	0.430258002
369	0.4301862059
370	0.4301683623
371	0.4300784066
372	0.4299160624
373	0.4297002182
374	0.4296622049
375	0.4296324641
376	0.4296250474
377	0.4294905275
378	0.4293816241
379	0.4293085942
380	0.4292617933
381	0.4292039265
382	0.4290470444
383	0.4288747056
384	0.4288591737
385	0.4288346577
386	0.4287670817
387	0.4287266906
388	0.4285743099
389	0.4285743068
390	0.4285647032
391	0.4285266675
392	0.4284107891
393	0.4283941649
394	0.4283812057
395	0.4283587117
396	0.4283018844
397	0.4282186436
398	0.428156339
399	0.4281301119
400	0.427987695
401	0.4278981551
402	0.4278505067
403	0.4277921021
404	0.4277490222
405	0.4277140946
406	0.4276803922
407	0.4274883678
408	0.4273423643
409	0.4272775518
410	0.4272168409
411	0.4271477191
412	0.4270605148
413	0.4269507321
414	0.4269188097
415	0.4268570786
416	0.42681787
417	0.4267599813
418	0.4267599802
419	0.4266647326
420	0.4265359195
421	0.4264675411
422	0.4264280454
423	0.4262914348
424	0.4262660949
425	0.4262388237
426	0.4261841197
427	0.4261297807
428	0.4260957388
429	0.4260843818
430	0.4260843811
431	0.4260618224
432	0.4260220456
433	0.4259749055
434	0.4258456134
435	0.4257915569
436	0.4257379855
437	0.4256953619
438	0.42567757
439	0.4256137742
440	0.4254911777
441	0.4253821447
442	0.4253708936
443	0.425250717
444	0.4251963232
445	0.4251426137
446	0.4251108566
447	0.4250774244
448	0.424969868
449	0.424957
450	0.4248964827
451	0.4248927195
452	0.4248636665
453	0.4247603639
454	0.4246810341
455	0.4246385237
456	0.4246225342
457	0.4244934134
458	0.4244740245
459	0.4244098962
460	0.4243948313
461	0.4243556708
462	0.4243340818
463	0.4242731516
464	0.4242310547
465	0.4241860938
466	0.4240660726
467	0.4239741605
468	0.4238953413
469	0.4238100101
470	0.4236983745
471	0.4236219414
472	0.4235145365
473	0.4235043325
474	0.4234576082
475	0.4234427936
476	0.4233545337
477	0.4232715573
478	0.4231601561
479	0.4231242159
480	0.4231083244
481	0.423008103
482	0.4229277427
483	0.4229197664
484	0.4228920672
485	0.4228484893
486	0.4228484885
487	0.4228033349
488	0.4226754499
489	0.4226752399
490	0.422588851
491	0.4225485389
492	0.4225370224
493	0.4224325689
494	0.422396254
495	0.4223489359
496	0.4223447006
497	0.4223119263
498	0.4221745185
499	0.4220767362
500	0.4220583324
501	0.4220044214
502	0.4219631564
503	0.4218722268
504	0.4218564628
505	0.4218088918
506	0.4217539187
507	0.4217129378
508	0.4216778892
509	0.4216770475
510	0.421652974
511	0.4216320025
512	0.4215838853
513	0.4215732641
514	0.4215290719
515	0.4214361926
516	0.4213998214
517	0.4213988855
518	0.4213025794
519	0.4212186107
